"","x"
"1",0.0007068482915284
"2",0.000914228268895845
"3",0.00106271152272867
"4",0.00112211279988371
"5",0.00135430062930002
"6",0.00190355454106496
"7",0.00328285632503609
"8",0.00366522781932916
"9",0.00413552139152625
"10",0.00457660851020594
"11",0.00466754443479802
"12",0.00491878385251763
"13",0.00504458415334649
"14",0.00512533049373409
"15",0.00573284871165744
"16",0.00608553152274182
"17",0.00632721995646241
"18",0.00677186298168163
"19",0.00677714143922819
"20",0.00677395579083903
"21",0.00672997716100395
"22",0.00661911256553201
"23",0.00658437157207111
"24",0.00656998211779409
"25",0.00711655538499032
"26",0.00714115770115616
"27",0.00718524870548976
"28",0.00724653051291367
"29",0.00720466184161635
"30",0.00725282318482054
"31",0.00734156818910042
"32",0.00742479427280606
"33",0.00788008247851141
"34",0.00818180667972949
"35",0.0082841755731307
"36",0.00850970956326618
"37",0.0084215890810582
"38",0.00826899768951269
"39",0.00816366455925503
"40",0.00805278023774272
"41",0.00800426838700927
"42",0.00786939667657305
"43",0.00800972051811479
"44",0.00786388959519796
"45",0.00770079210210899
"46",0.00762050577679322
"47",0.00754695122436577
"48",0.00751331620570104
"49",0.00745603932461231
"50",0.00750523363749626
"51",0.00767154497393889
"52",0.00789425556578973
"53",0.00790564039079153
"54",0.00798688643129067
